f_property_type,f_neighbourhood,n_days_since_rv,n_days_since_host,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_sound,d_baby,d_beach,d_stove,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type
apartment,Ward 83,NA,4039,NA,0,1,2,1,1,0,NA,1,NA,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,580,15180,Ward 83,apartment
apartment,Ward 115,2487,4039,100,NA,1,2,1,1,2,90,1,0.02,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,2500,15199,Ward 115,apartment
apartment,Ward 60,3846,4039,NA,NA,1,3,1,1,3,100,1,0.02,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,599,15331,Ward 60,apartment
apartment,Ward 115,3846,4037,90,60,2,2,1,1,18,86,1,0.14,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,550,15480,Ward 115,apartment
apartment,Ward 115,3824,4011,100,75,2,4,2,3,132,94,2,1.04,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1357,17270,Ward 115,apartment
apartment,Ward 23,NA,3985,NA,NA,1,5,NA,4,0,NA,1,NA,NA,0,1,0,0,1,1,0,0,0,0,0,0,1,0,5290,19398,Ward 23,apartment
apartment,Ward 64,1746,3924,100,0,2,4,2,2,16,95,2,0.27,2,0,1,0,0,0,1,1,0,0,0,1,1,1,0,2500,24670,Ward 64,apartment
apartment,Ward 57,NA,3894,NA,NA,1,3,3,NA,0,NA,1,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6578,26828,Ward 57,apartment
apartment,Ward 71,2911,4039,NA,NA,3,2,1,2,4,100,3,0.04,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,800,28707,Ward 71,apartment
loft,Ward 115,2433,3830,100,99,18,2,NA,2,261,96,6,3.22,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,585,36347,Ward 115,loft
apartment,Ward 107,3406,3829,100,89,5,2,1,2,32,94,5,0.28,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,550,36499,Ward 107,apartment
