f_property_type,f_neighbourhood,n_days_since_rv,n_days_since_host,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_sound,d_baby,d_beach,d_stove,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type,ln_price,n_beds2,ln_bathrooms,ln_number_of_reviews,n_days_since_rv2,n_days_since_host2,n_days_since_host3,n_host_acceptance_rate2,n_host_response_rate2,ln_host_total_listings_count,n_bedrooms2,flag_days_since_rv,flag_review_scores_rating,flag_reviews_per_month,flag_number_of_reviews,flag_host_response_rate,flag_host_acceptance_rate
apartment,Ward 83,767,4039,100,0,1,2,1,1,0,97,1,0.54,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,580,15180,Ward 83,apartment,6.363028103540465,1,0,0,588289,16313521,65890311319,0,10000,0.6931471805599453,1,1,1,1,1,1,0
apartment,Ward 115,2487,4039,100,96,1,2,1,1,2,90,1,0.02,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,2500,15199,Ward 115,apartment,7.824046010856292,1,0,1.0986122886681098,6185169,16313521,65890311319,9216,10000,0.6931471805599453,1,0,0,0,0,0,1
apartment,Ward 60,3846,4039,100,96,1,3,1,1,3,100,1,0.02,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,599,15331,Ward 60,apartment,6.395261598115449,1,0,1.3862943611198906,14791716,16313521,65890311319,9216,10000,0.6931471805599453,1,0,0,0,0,1,1
apartment,Ward 115,3846,4037,90,60,2,2,1,1,18,86,1,0.14,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,550,15480,Ward 115,apartment,6.309918278226516,1,0,2.9444389791664403,14791716,16297369,65792478653,3600,8100,1.0986122886681098,1,0,0,0,0,0,0
apartment,Ward 115,3824,4011,100,75,2,4,2,3,132,94,2,1.04,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1357,17270,Ward 115,apartment,7.213031659834869,9,0,4.890349128221754,14622976,16088121,64529453331,5625,10000,1.0986122886681098,4,0,0,0,0,0,0
apartment,Ward 23,767,3985,100,96,1,5,2,4,0,97,1,0.54,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,5290,19398,Ward 23,apartment,8.573573524852344,16,0,0,588289,15880225,63282696625,9216,10000,0.6931471805599453,4,1,1,1,1,1,1
apartment,Ward 64,1746,3924,100,0,2,4,2,2,16,95,2,0.27,2,0,1,0,0,0,1,1,0,0,0,1,1,1,0,2500,24670,Ward 64,apartment,7.824046010856292,4,0.6931471805599453,2.833213344056216,3048516,15397776,60420873024,0,10000,1.0986122886681098,4,0,0,0,0,0,0
apartment,Ward 57,767,3894,100,96,1,3,3,3,0,97,1,0.54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6578,26828,Ward 57,apartment,8.791486026749002,9,0,0,588289,15163236,59045640984,9216,10000,0.6931471805599453,9,1,1,1,1,1,1
apartment,Ward 71,2911,4039,100,96,3,2,1,2,4,100,3,0.04,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,800,28707,Ward 71,apartment,6.684611727667927,4,0,1.6094379124341003,8473921,16313521,65890311319,9216,10000,1.3862943611198906,1,0,0,0,0,1,1
loft,Ward 115,2433,3830,100,99,18,2,1,2,261,96,6,3.22,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,585,36347,Ward 115,loft,6.371611847231857,4,0,5.568344503761097,5919489,14668900,56181887000,9801,10000,2.9444389791664403,1,0,0,0,0,0,0
apartment,Ward 107,3406,3829,100,89,5,2,1,2,32,94,5,0.28,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,550,36499,Ward 107,apartment,6.309918278226516,4,0,3.4965075614664802,11600836,14661241,56137891789,7921,10000,1.791759469228055,1,0,0,0,0,0,0
apartment,Ward 54,767,3734,100,96,1,2,3,1,0,97,1,0.54,2,0,1,1,0,0,1,1,0,0,0,0,1,1,0,861,54730,Ward 54,apartment,6.7580945044277305,1,0.6931471805599453,0,588289,13942756,52062250904,9216,10000,0.6931471805599453,9,1,1,1,1,1,1
apartment,Ward 77,2300,3690,100,100,1,6,3,4,72,90,1,0.94,2,0,0,0,1,1,1,1,0,0,0,0,1,0,0,918,60296,Ward 77,apartment,6.822197390620491,16,0.6931471805599453,4.290459441148391,5290000,13616100,50243409000,10000,10000,0.6931471805599453,9,0,0,0,0,1,0
apartment,Ward 77,3363,3650,100,50,1,2,1,1,56,89,1,0.5,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,334,67439,Ward 77,apartment,5.811140992976701,1,0,4.04305126783455,11309769,13322500,48627125000,2500,10000,0.6931471805599453,1,0,0,0,0,0,0
apartment,Ward 54,3372,3594,100,78,6,4,2,3,29,89,7,0.26,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2317,82212,Ward 54,apartment,7.748028524432376,9,0,3.4011973816621555,11370384,12916836,46423108584,6084,10000,1.9459101490553132,4,0,0,0,0,0,0
apartment,Ward 23,2154,3523,100,96,1,4,2,3,20,97,3,0.28,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1111,106673,Ward 23,apartment,7.01301578963963,9,0,3.044522437723423,4639716,12411529,43725816667,9216,10000,0.6931471805599453,4,0,0,0,0,1,1
apartment,Ward 64,2125,3471,100,0,3,4,2,5,4,100,1,0.06,2,0,1,0,0,1,1,0,0,0,0,0,0,1,0,2200,154201,Ward 64,apartment,7.696212639346407,25,0.6931471805599453,1.6094379124341003,4515625,12047841,41818056111,0,10000,1.3862943611198906,4,0,0,0,0,1,0
apartment,Ward 115,3363,3732,100,92,6,2,1,1,70,97,6,0.62,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1150,218269,Ward 115,apartment,7.047517221357296,1,0,4.2626798770413155,11309769,13927824,51978639168,8464,10000,1.9459101490553132,1,0,0,0,0,0,0
loft,Ward 115,3314,3377,100,100,2,4,1,3,94,96,2,0.85,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1500,231402,Ward 115,loft,7.313220387090301,9,0,4.553876891600541,10982596,11404129,38511743633,10000,10000,1.0986122886681098,1,0,0,0,0,1,0
apartment,Ward 107,2109,3334,50,50,1,2,3,1,2,100,1,0.03,3,0,1,0,0,1,1,1,0,0,0,0,1,1,0,850,263584,Ward 107,apartment,6.745236349484363,1,1.0986122886681098,1.0986122886681098,4447881,11115556,37059263704,2500,2500,0.6931471805599453,9,0,0,0,0,0,0
apartment,Ward 77,3275,3530,100,100,8,2,1,2,20,93,6,0.18,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,2632,281316,Ward 77,apartment,7.875499292445208,4,0,3.044522437723423,10725625,12460900,43986977000,10000,10000,2.1972245773362196,1,0,0,0,0,0,0
loft,Ward 54,2180,3335,100,83,4,3,1,2,23,98,1,0.32,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,3168,282586,Ward 54,loft,8.060855752934316,4,0,3.1780538303479458,4752400,11122225,37092620375,6889,10000,1.6094379124341003,1,0,0,0,0,0,0
apartment,Ward 115,3268,3377,100,100,2,4,2,4,59,96,2,0.54,2,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1500,283053,Ward 115,apartment,7.313220387090301,16,0.6931471805599453,4.0943445622221,10679824,11404129,38511743633,10000,10000,1.0986122886681098,4,0,0,0,0,1,0
apartment,Ward 54,3283,3301,100,71,2,4,1,2,19,98,2,0.17,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1250,286894,Ward 54,apartment,7.1308988302963465,4,0,2.995732273553991,10778089,10896601,35969679901,5041,10000,1.0986122886681098,1,0,0,0,0,0,0
apartment,Ward 71,2881,3296,100,50,1,3,1,1,11,96,1,0.11,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,850,291205,Ward 71,apartment,6.745236349484363,1,0,2.4849066497880004,8300161,10863616,35806478336,2500,10000,0.6931471805599453,1,0,0,0,0,0,0
apartment,Ward 61,3213,3286,100,100,2,4,1,3,63,99,2,0.59,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1750,298622,Ward 61,apartment,7.4673710669175595,9,0,4.1588830833596715,10323369,10797796,35481557656,10000,10000,1.0986122886681098,1,0,0,0,0,0,0
apartment,Ward 61,3210,3286,100,100,2,2,1,2,27,94,2,0.25,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,450,299380,Ward 61,apartment,6.1092475827643655,4,0,3.332204510175204,10304100,10797796,35481557656,10000,10000,1.0986122886681098,1,0,0,0,0,0,0
apartment,Ward 115,2939,3227,100,100,2,4,2,4,200,95,1,2.04,2,1,1,1,1,1,1,1,1,0,0,0,1,1,0,2393,357793,Ward 115,apartment,7.780303087908373,16,0.6931471805599453,5.303304908059076,8637721,10413529,33604458083,10000,10000,1.0986122886681098,4,0,0,0,0,0,0
